county,municipality,dem_registered,rep_registered,green_registered,lib_registered,unenrolled_registered,total_registered,dem_2018_ballots,rep_2018_ballots,dem_turnout_2018_pct,rep_turnout_2018_pct
FRA,CARRABASSETT VALLEY,246,177,24,2,231,686,76,67,30.89,37.85
FRA,CARTHAGE,87,152,23,0,157,430,28,31,32.18,20.39
FRA,CHESTERVILLE,227,394,60,1,361,1047,96,112,42.29,28.43
FRA,COPLIN PLT,45,49,10,0,32,138,14,18,31.11,36.73
FRA,DALLAS PLT,71,115,9,1,95,293,36,27,50.7,23.48
FRA,EUSTIS,136,224,39,3,224,633,40,75,29.41,33.48
FRA,FARMINGTON,1714,1713,229,22,1499,5290,568,716,33.14,41.8
FRA,INDUSTRY,150,222,20,1,222,628,84,77,56.0,34.68
FRA,JAY,1060,1062,96,16,955,3248,420,295,39.62,27.78
FRA,KINGFIELD,249,433,49,4,348,1104,98,186,39.36,42.96
FRA,NEW SHARON,260,467,60,6,384,1189,122,167,46.92,35.76
FRA,NEW VINEYARD,119,232,23,2,177,560,50,99,42.02,42.67
FRA,PHILLIPS,190,347,44,4,293,890,82,99,43.16,28.53
FRA,RANGELEY,203,430,60,4,313,1022,84,164,41.38,38.14
FRA,RANGELEY PLT,36,74,3,0,62,175,16,40,44.44,54.05
FRA,SANDY RIVER PLT,46,48,1,0,48,144,19,18,41.3,37.5
