county,municipality,dem_registered,rep_registered,green_registered,lib_registered,unenrolled_registered,total_registered,dem_2018_ballots,rep_2018_ballots,dem_registered_2017,rep_registered_2017,dem_turnout_2018_pct,rep_turnout_2018_pct,dem_eligible_2026,rep_eligible_2026
HAN,VERONA ISLAND,108.0,155.0,12.0,3.0,119.0,397,37,54,126.0,151.0,29.37,35.76,227.0,274.0
HAN,WALTHAM,49.0,155.0,8.0,1.0,71.0,284,11,61,50.0,142.0,22.0,42.96,120.0,226.0
HAN,WINTER HARBOR,113.0,156.0,9.0,1.0,91.0,370,49,53,104.0,170.0,47.12,31.18,204.0,247.0
KEN,ALBION,260.0,627.0,42.0,8.0,408.0,1345,103,213,338.0,550.0,30.47,38.73,668.0,1035.0
KEN,AUGUSTA,3778.0,3334.0,403.0,80.0,3290.0,10885,1577,1152,4709.0,3683.0,33.49,31.28,7068.0,6624.0
KEN,BELGRADE,617.0,898.0,98.0,16.0,783.0,2412,273,323,651.0,850.0,41.94,38.0,1400.0,1681.0
KEN,BENTON,358.0,757.0,67.0,5.0,504.0,1691,160,260,477.0,617.0,33.54,42.14,862.0,1261.0
KEN,CHELSEA,422.0,657.0,72.0,8.0,558.0,1717,233,247,558.0,547.0,41.76,45.16,980.0,1215.0
KEN,CHINA,710.0,1111.0,71.0,12.0,893.0,2797,288,428,745.0,938.0,38.66,45.63,1603.0,2004.0
KEN,CLINTON,402.0,817.0,81.0,6.0,588.0,1894,170,272,603.0,706.0,28.19,38.53,990.0,1405.0
KEN,FARMINGDALE,616.0,642.0,80.0,19.0,575.0,1932,255,262,740.0,730.0,34.46,35.89,1191.0,1217.0
KEN,FAYETTE,268.0,323.0,28.0,7.0,282.0,908,150,116,304.0,274.0,49.34,42.34,550.0,605.0
KEN,GARDINER,1278.0,1073.0,215.0,14.0,1013.0,3593,603,424,1445.0,1165.0,41.73,36.39,2291.0,2086.0
KEN,HALLOWELL,1052.0,369.0,57.0,11.0,477.0,1966,632,187,996.0,469.0,63.45,39.87,1529.0,846.0
KEN,LITCHFIELD,571.0,1016.0,89.0,16.0,769.0,2461,233,374,679.0,835.0,34.32,44.79,1340.0,1785.0
KEN,MANCHESTER,497.0,685.0,60.0,3.0,536.0,1781,274,302,604.0,719.0,45.36,42.0,1033.0,1221.0
KEN,MONMOUTH,728.0,1128.0,145.0,11.0,896.0,2908,284,352,822.0,1020.0,34.55,34.51,1624.0,2024.0
KEN,MOUNT VERNON,398.0,446.0,65.0,9.0,388.0,1306,199,142,411.0,388.0,48.42,36.6,786.0,834.0
KEN,OAKLAND,1044.0,1469.0,107.0,17.0,1322.0,3959,420,546,1215.0,1395.0,34.57,39.14,2366.0,2791.0
KEN,PITTSTON,461.0,818.0,76.0,12.0,631.0,1998,216,268,578.0,738.0,37.37,36.31,1092.0,1449.0
KEN,RANDOLPH,331.0,410.0,59.0,4.0,315.0,1119,148,142,438.0,366.0,33.79,38.8,646.0,725.0
KEN,READFIELD,606.0,649.0,77.0,11.0,592.0,1935,341,253,681.0,654.0,50.07,38.69,1198.0,1241.0
KEN,ROME,239.0,261.0,34.0,4.0,255.0,793,102,69,250.0,229.0,40.8,30.13,494.0,516.0
KEN,SIDNEY,733.0,1433.0,125.0,15.0,1009.0,3315,298,475,800.0,1177.0,37.25,40.36,1742.0,2442.0
KEN,VASSALBORO,767.0,1051.0,155.0,23.0,871.0,2867,326,417,921.0,988.0,35.4,42.21,1638.0,1922.0
KEN,VIENNA,134.0,123.0,34.0,2.0,165.0,458,93,38,165.0,118.0,56.36,32.2,299.0,288.0
KEN,WATERVILLE,3542.0,1853.0,220.0,76.0,2591.0,8282,1574,796,5201.0,2260.0,30.26,35.22,6133.0,4444.0
KEN,WAYNE,352.0,271.0,13.0,1.0,297.0,934,210,156,345.0,280.0,60.87,55.71,649.0,568.0
KEN,WEST GARDINER,629.0,1043.0,119.0,19.0,824.0,2634,273,370,726.0,929.0,37.6,39.83,1453.0,1867.0
KEN,WINDSOR,330.0,739.0,73.0,14.0,520.0,1676,131,289,434.0,665.0,30.18,43.46,850.0,1259.0
KEN,WINSLOW,1483.0,1772.0,152.0,28.0,1605.0,5040,753,684,1904.0,1586.0,39.55,43.13,3088.0,3377.0
KEN,WINTHROP,1301.0,1379.0,187.0,20.0,1309.0,4196,649,534,1456.0,1465.0,44.57,36.45,2610.0,2688.0
KNO,APPLETON,331.0,324.0,55.0,6.0,295.0,1011,179,136,309.0,284.0,57.93,47.89,626.0,619.0
